dates,RG_BISH05_mm,RG_BISH12_mm,RG_DEL0103_mm,RG_KID0105_mm,RG_KID1316_mm,RG_KID46_mm,RG_MEL05_mm,RG_MEL14_mm,RG_NASE0104_mm,RG_NEWS1920_mm,RG_TOUT0405_mm
2022-10-01,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,0,0,0,0,0,0,0,0,0,0,0
2022-10-04,1,1,0,0,0,0,1,0,0,2,0
2022-10-05,0,2,0,0,0,0,0,0,0,0,0
2022-10-06,0,0,0,1,0,0,0,0,1,0,1
2022-10-07,0,0,0,0,0,0,0,0,0,0,0
2022-10-08,0,1,0,0,0,0,1,0,0,0,0
2022-10-09,0,0,0,0,0,0,0,0,0,0,0
2022-10-10,0,2,0,0,0,0,0,0,0,1,0
2022-10-11,0,0,0,0,0,0,0,0,0,0,0
2022-10-12,0,0,0,0,0,0,0,0,0,0,0
2022-10-13,0,0,0,0,0,0,0,0,0,0,0
2022-10-14,0,0,0,0,0,0,0,0,0,0,0
2022-10-15,0,0,0,0,0,0,0,0,0,0,0
2022-10-16,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,0,0,0,0,0,0,0,0,0,0,0
2022-10-20,1,0,2,0,0,1,0,0,0,1,0
2022-10-21,13,12,12,15,12,15,11,12,13,11,13
2022-10-22,2,3,0,5,0,12,1,1,8,2,9
2022-10-23,2,3,1,0,0,0,2,2,1,3,1
2022-10-24,10,9,10,12,0,13,10,10,11,8,11
2022-10-25,18,17,18,15,0,14,18,17,21,16,16
2022-10-26,5,3,1,3,0,5,2,1,6,8,4
2022-10-27,1,1,1,0,0,0,2,2,0,4,0
2022-10-28,6,5,6,4,0,8,7,7,8,7,9
2022-10-29,0,0,0,0,0,0,0,0,0,0,0
2022-10-30,21,20,19,6,1,14,20,19,18,21,13
2022-10-31,9,8,9,16,22,19,8,9,9,9,22
2022-11-01,7,6,5,5,24,9,6,6,9,5,8
2022-11-02,8,6,2,1,24,2,4,5,9,7,4
2022-11-03,12,13,13,8,24,13,13,12,14,13,13
2022-11-04,23,22,22,23,24,24,22,22,24,22,24
2022-11-05,9,9,6,5,24,11,8,5,10,9,10
2022-11-06,15,16,18,7,24,14,19,19,19,15,16
2022-11-07,12,12,9,2,24,6,9,10,20,10,8
2022-11-08,0,0,0,0,24,0,0,1,0,0,0
2022-11-09,1,0,0,0,24,0,0,0,1,0,0
2022-11-10,0,0,0,0,24,0,1,1,2,0,0
2022-11-11,0,0,0,0,24,0,0,0,0,0,0
2022-11-12,0,0,0,0,24,0,0,0,1,0,0
2022-11-13,0,0,0,0,24,0,0,0,0,0,0
2022-11-14,0,0,0,0,21,0,0,0,0,1,0
2022-11-15,0,0,0,0,0,0,0,0,0,0,0
2022-11-16,0,0,0,0,0,0,0,0,0,0,0
2022-11-17,1,0,0,0,0,0,0,0,0,0,0
2022-11-18,0,0,0,0,0,0,0,0,0,0,0
2022-11-19,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,0,0,0,0,0,0,0,0,0,0,0
2022-11-21,1,2,0,0,0,0,0,0,1,0,0
2022-11-22,13,15,8,13,13,13,10,10,10,19,8
2022-11-23,0,0,0,0,0,0,0,1,0,0,0
2022-11-24,0,0,0,0,0,0,0,1,0,0,0
2022-11-25,12,15,6,10,10,10,4,8,11,16,9
2022-11-26,9,13,6,1,2,0,8,8,12,12,1
2022-11-27,8,17,8,8,11,17,11,11,12,20,11
2022-11-28,3,8,2,7,6,3,3,2,5,9,3
2022-11-29,15,16,13,10,10,10,13,10,16,16,10
2022-11-30,6,16,6,12,13,13,8,7,15,17,9
2022-12-01,2,5,0,4,0,0,2,2,3,3,1
2022-12-02,8,13,10,2,4,0,7,8,8,11,1
2022-12-03,1,5,7,0,2,2,4,8,1,3,5
2022-12-04,5,13,11,1,0,3,4,6,7,12,1
2022-12-05,8,13,10,6,5,17,5,5,3,21,6
2022-12-06,7,15,11,4,5,12,10,10,2,18,5
2022-12-07,3,7,1,1,1,1,1,3,4,6,3
2022-12-08,18,21,12,14,17,15,9,13,15,23,16
2022-12-09,17,21,19,7,10,10,14,17,19,21,16
2022-12-10,16,21,15,12,16,17,13,14,18,21,21
2022-12-11,7,10,3,4,3,6,2,5,8,14,6
2022-12-12,0,2,0,0,1,2,0,2,2,4,0
2022-12-13,0,0,0,0,0,0,0,0,0,0,1
2022-12-14,0,0,0,0,0,0,0,0,0,0,0
2022-12-15,0,0,0,0,0,0,0,0,0,0,0
2022-12-16,0,0,1,1,0,1,1,0,0,0,0
2022-12-17,7,7,7,0,0,1,8,4,4,8,1
2022-12-18,14,12,17,8,11,10,17,10,10,14,7
2022-12-19,1,2,1,5,0,0,2,2,1,1,0
2022-12-20,10,10,14,13,11,9,14,9,10,10,12
2022-12-21,0,0,0,0,0,0,0,0,0,0,0
2022-12-22,0,0,0,0,0,0,0,1,0,0,0
2022-12-23,11,10,11,2,3,3,12,7,8,12,6
2022-12-24,18,18,20,8,12,12,20,22,21,22,15
2022-12-25,19,20,19,2,4,1,21,17,19,18,4
2022-12-26,17,17,24,14,21,20,24,17,18,15,20
2022-12-27,20,21,23,9,21,22,23,22,18,23,23
2022-12-28,9,11,13,0,4,7,15,8,16,8,9
2022-12-29,17,15,18,2,4,4,18,17,20,17,6
2022-12-30,13,14,17,2,11,11,17,17,10,15,12
2022-12-31,12,9,18,0,10,14,18,6,11,6,15
2023-01-01,1,1,3,1,1,3,4,1,1,0,2
2023-01-02,2,2,2,0,0,0,2,2,3,2,0
2023-01-03,8,9,9,1,1,4,10,9,11,10,4
