dates,RG_BISH05_mm,RG_BISH12_mm,RG_DEL0103_mm,RG_KID1316_mm,RG_KID46_mm,RG_MEL05_mm,RG_MEL14_mm,RG_NASE0104_mm,RG_NASE05i_mm,RG_NEWS1920_mm
2023-10-01,0,0,0,0,0,0,0,0,0,0
2023-10-02,14,19,16,12,14,17,13,17,17,21
2023-10-03,1,1,3,7,10,3,3,3,3,4
2023-10-04,0,0,2,0,0,2,2,0,0,0
2023-10-05,0,1,0,0,0,0,1,0,0,0
2023-10-06,0,0,0,0,0,0,0,0,0,0
2023-10-07,0,0,0,0,0,0,0,0,0,0
2023-10-08,0,0,0,0,0,0,0,0,0,0
2023-10-09,7,9,5,3,7,5,5,6,6,18
2023-10-10,16,16,19,14,13,17,15,17,17,24
2023-10-11,12,12,14,19,19,14,12,14,14,16
2023-10-12,0,0,0,1,1,0,0,0,0,0
2023-10-13,8,9,9,1,1,8,7,8,8,10
2023-10-14,8,7,4,1,3,5,5,7,7,12
2023-10-15,2,3,2,0,1,1,2,4,4,6
2023-10-16,9,9,12,9,9,10,10,13,13,19
2023-10-17,4,4,6,1,2,5,6,1,1,13
2023-10-18,0,0,0,0,0,0,0,0,0,0
2023-10-19,0,0,0,0,0,0,0,0,0,0
2023-10-20,1,1,0,0,0,0,1,0,0,0
2023-10-21,1,1,0,0,3,1,1,0,0,6
2023-10-22,0,0,0,0,1,0,0,3,3,0
2023-10-23,2,1,0,1,1,0,0,0,0,3
2023-10-24,18,18,13,12,13,13,17,19,19,23
2023-10-25,2,3,7,9,9,4,3,7,7,11
2023-10-26,1,0,0,0,2,0,0,0,0,3
2023-10-27,0,0,0,0,0,0,0,0,0,0
2023-10-28,0,0,0,0,0,0,0,0,0,0
2023-10-29,0,0,0,0,0,0,0,0,0,0
2023-10-30,0,0,0,0,0,0,0,0,0,0
2023-10-31,0,0,0,0,0,0,0,0,0,0
2023-11-01,10,10,9,9,10,9,9,12,12,12
2023-11-02,18,19,17,8,12,19,19,19,19,24
2023-11-03,9,8,8,7,6,9,9,9,9,16
2023-11-04,13,11,15,13,16,14,14,9,9,22
2023-11-05,9,9,8,6,5,9,8,12,12,20
2023-11-06,20,19,19,18,21,19,19,23,23,24
2023-11-07,7,6,4,13,14,6,5,9,9,12
2023-11-08,1,0,0,14,1,0,0,0,0,0
2023-11-09,8,7,7,24,6,7,8,9,6,14
2023-11-10,20,22,15,24,24,15,16,16,13,24
2023-11-11,15,15,16,24,24,16,17,12,11,19
2023-11-12,10,10,8,24,24,9,8,12,11,10
2023-11-13,1,1,14,24,24,2,2,2,3,1
2023-11-14,0,0,24,24,24,0,0,0,0,0
2023-11-15,0,0,24,24,24,0,0,0,0,0
2023-11-16,0,0,24,24,24,0,1,0,0,0
2023-11-17,1,0,24,24,24,0,0,0,0,0
2023-11-18,6,6,24,24,24,6,6,8,7,7
2023-11-19,13,12,24,24,24,8,11,8,8,12
2023-11-20,0,0,24,24,24,0,0,0,0,0
2023-11-21,7,7,24,24,24,6,6,8,6,6
2023-11-22,1,1,24,24,24,2,1,3,3,1
2023-11-23,0,0,24,24,24,0,1,0,0,0
2023-11-24,1,0,24,24,24,0,0,1,0,0
2023-11-25,0,0,24,24,24,0,1,0,0,0
2023-11-26,0,0,24,24,24,0,0,0,0,0
2023-11-27,0,0,24,24,24,0,1,0,0,1
2023-11-28,0,0,24,24,24,0,1,0,0,0
2023-11-29,0,0,24,24,24,1,1,0,0,0
2023-11-30,6,5,24,24,24,5,6,8,7,7
2023-12-01,19,15,24,24,24,17,20,16,15,17
2023-12-02,11,11,24,24,24,8,10,9,12,10
2023-12-03,9,9,24,24,24,9,9,11,10,10
2023-12-04,22,22,24,24,24,20,20,21,21,22
2023-12-05,21,21,24,24,24,23,21,22,22,20
2023-12-06,1,2,24,24,24,1,1,9,7,3
2023-12-07,14,10,24,24,24,15,14,15,16,13
2023-12-08,4,5,9,24,24,5,6,4,5,3
2023-12-09,16,16,0,24,24,15,15,17,16,17
2023-12-10,19,19,0,24,24,15,16,13,15,14
2023-12-11,1,1,0,24,24,3,4,1,1,2
2023-12-12,0,0,0,24,24,0,0,0,0,0
2023-12-13,0,0,0,11,24,0,0,0,0,0
2023-12-14,7,6,0,4,8,7,7,9,8,4
2023-12-15,0,0,0,0,0,1,2,0,0,0
