Site Name,Road Gradient,"Ditch BMP, photo checked",Rock Quality  installed 08-2023,Water Year,d50 (mm),Sample Interval Begin DateTIme,Sample Interval End DateTime,Sample Hours,Flow (liters),98th percentile flow,Fine Suspended sediment (kg),Coarse sediment (kg),Total Sediment (kg),Rainfall (in),All Truck Count (half of count to be consistent with WY23),All Car Count,All Truck count wet (0.1) (half of total to be consistent with WY23),All Car Count wet (0.1),All Truck count wet (0.25) (Half of total to be consistent with WY23),All Car Count wet (0.25),Flow % time missing,Suspended sediment (intervals notes stating compromised),Quality flag,Rainfall % time missing,RG_Site Used,Car Count Conf.,Comment
BISH01,3,sparse grass ,Naselle Good,2024,0.25,10/1/2023 0:00,6/21/2024 12:44,6349,"762,505","1,427",351.93,109.75,461.68,95.32,623.5,1335,343.5,639,319,508,1.10%,0,1,0%,RG_BISH05,BISH02,
BISH02,2,bare,Dixon Marginal,2024,0.19,10/1/2023 0:00,6/21/2024 14:18,6350,"1,560,621","2,380",49.6,19.43,69.03,95.32,623.5,1335,343.5,639,319,508,0.00%,2,1,0%,RG_BISH05,BISH02,full SST
BISH03,2.50,silt traps,Dixon Marginal,2024,0.06,10/1/2023 0:00,6/25/2024 15:29,6447,"251,402",662,17.35,13.7,31.05,95.42,623.5,1350,343.5,639,319,508,0.00%,0,1,0%,RG_BISH05,BISH02,
BISH04,13,dense wattles,Dixon Marginal,2024,0.18,10/1/2023 0:00,6/25/2024 14:55,6447,"4,804,877","5,931",33.56,2.93,36.49,95.42,604.5,737,367.5,374,367.5,297,21.30%,7,1,0%,RG_BISH05,BISH12,many full sst 
BISH05,12.50,dense wattles,Dixon Marginal,2024,0.3,10/1/2023 0:00,6/25/2024 14:40,6447,"42,949",63,3.79,29.22,33.01,95.42,604.5,737,367.5,374,367.5,297,0.00%,0,1,0%,RG_BISH05,BISH12,
BISH06,11.00,bare,Bishop Good,2024,0.3,10/1/2023 0:00,6/25/2024 13:05,6445,"2,969,123","2,487",175.51,248.36,423.87,103.64,604.5,737,367.5,374,367.5,297,15.60%,5,3,0%,RG_BISH12,BISH12,full SST
BISH07,12,heavy grass ,Bishop Good,2024,0.046,10/1/2023 0:00,6/25/2024 12:58,6445,"211,298",605,45.17,44.07,89.24,103.64,604.5,737,367.5,374,367.5,297,6.00%,0,1,0%,RG_BISH12,BISH12,
BISH09,8,heavy grass ,Naselle Good,2024,0.06,10/1/2023 0:00,6/25/2024 11:40,6444,"68,847",178,16.77,100.91,117.68,103.64,604.5,737,367.5,374,367.5,297,0.00%,0,1,0%,RG_BISH12,BISH12,
BISH10,9,sparse grass ,Naselle Good,2024,0.043,10/1/2023 0:00,6/25/2024 11:40,6444,"121,420",327,14.04,39.9,53.94,103.64,604.5,737,367.5,374,367.5,297,22.00%,0,1,0%,RG_BISH12,BISH12,
BISH11,5,heavy grass ,Naselle Good,2024,0.039,10/1/2023 0:00,6/25/2024 10:55,6443,"2,164,539","2,183",54.58,27.66,82.24,103.64,604.5,737,367.5,374,367.5,297,8.20%,5,1,0%,RG_BISH12,BISH12,full SST
BISH12,5,heavy grass ,Dixon Marginal,2024,0.031,10/1/2023 0:00,6/25/2024 10:10,6442,"40,593",110,0.54,9.52,10.06,103.64,604.5,737,367.5,374,367.5,297,0.00%,0,1,0%,RG_BISH12,BISH12,
DEL04,7,heavy grass ,Dixon Marginal,2024,0.26,10/1/2023 0:00,6/26/2024 13:30,6470,"103,601",186,46.52,204.01,250.53,59.26,1010.5,5835,495,2542,295,1610,0%,0,1,9%,RG_DEL0104,DEL6,
DEL06,7,dense wattles,Minot Pit Good,2024,0.09,10/1/2023 0:00,6/26/2024 14:24,6470,"2,107,759","2,943",16.99,5.54,22.53,59.26,1010.5,5835,495,2542,295,1610,46%,3,3,9%,RG_DEL0105,DEL6,culvert from road cut and stolen; SST full
DEL08,3,dense wattles,Dixon Marginal,2024,0.07,10/1/2023 0:00,6/26/2024 15:33,6472,"574,250",923,33.93,51.21,85.13,59.26,702.5,3415,360.5,1460,222,878,0%,0,1,9%,RG_DEL0106,DEL10,
DEL09,9,silt traps,Dixon Marginal,2024,0.099,10/1/2023 0:00,6/26/2024 16:05,6472,"93,105",142,17.64,191.68,209.31,59.26,702.5,3415,360.5,1460,222,878,0%,0,1,9%,RG_DEL0107,DEL10,
DEL10,3,silt traps,Dixon Marginal,2024,0.065,10/1/2023 0:00,6/26/2024 15:50,6472,"264,722",623,47.63,190.14,237.77,59.26,702.5,3415,360.5,1460,222,878,0%,1,1,9%,RG_DEL0108,DEL10,
KID01,10,heavy grass ,Naselle Good,2024,0.012,10/1/2023 0:00,6/11/2024 10:53,6107,"4,052,453","6,316",188.26,7.46,195.73,47.84,1517.5,10544,656,4273,450.5,3051,0%,3,1,0%,SRBW1 (sediment dam rain gage),KID1,"pressure transducer flow; pipe to SST fell off, sagged"
KID02,10,heavy grass ,Naselle Good,2024,0.17,10/1/2023 0:00,6/11/2024 12:37,6109,"4,064,972","7,996",53.03,45.19,98.22,47.84,1517.5,10544,656,4273,450.5,3051,0%,3,1,0%,SRBW1 (sediment dam rain gage),KID1,"pressure transducer flow; pipe to SST fell off, SST full"
KID03,10,heavy grass ,Naselle Good,2024,0.024,10/1/2023 0:00,6/11/2024 14:58,6111,"4,793,962","5,672",255.49,61.75,317.24,47.84,1517.5,10544,656,4273,450.5,3051,21%,6,1,0%,SRBW1 (sediment dam rain gage),KID1,
KID04,10,heavy grass ,Naselle Good,2024,0.19,10/1/2023 0:00,6/12/2024 7:33,6128,"119,277",385,16.65,93.12,109.77,47.84,1517.5,10575,656,4273,450.5,3051,0%,1,1,0%,SRBW1 (sediment dam rain gage),KID1,
KID05,10,heavy grass ,Naselle Good,2024,0.51,10/1/2023 0:00,6/12/2024 9:33,6130,"1,333,889","1,845",74.62,19.87,94.49,47.84,1517.5,10575,656,4273,450.5,3051,0%,2,1,0%,SRBW1 (sediment dam rain gage),KID1,
KID07,8,heavy grass ,4511 Good,2024,0.014,10/1/2023 0:00,6/12/2024 11:07,6131,"73,761",128,12.89,34.03,46.92,47.84,1161.5,9956,420.5,3679,218,2239,0%,0,1,0%,SRBW1 (sediment dam rain gage),KID7,
KID13,6,heavy grass ,4511 Good,2024,0.026,10/1/2023 0:00,6/12/2024 13:27,6133,"1,464,079","3,969",32.86,26.46,59.32,47.84,948,4611,311,1908,139,1223,2%,2,1,37%,SRBW1 (sediment dam rain gage),KID16,
KID14,5,dense wattles,4511 Good,2024,0.44,10/1/2023 0:00,6/12/2024 15:42,6136,"1,021,748","1,781",88.68,36.45,125.13,47.84,948,4611,311,1908,139,1223,0%,0,1,37%,SRBW1 (sediment dam rain gage),KID16,
KID15,5,bare,4511 Good,2024,0.26,10/1/2023 0:00,6/13/2024 7:41,6152,"369,086",702,58.28,42.19,100.47,47.84,950.5,4621,311,1908,139,1223,0%,0,1,37%,SRBW1 (sediment dam rain gage),KID16,
KID16,5,dense wattles,4511 Marginal,2024,0.1,10/1/2023 0:00,6/12/2024 8:47,6129,"1,518,193","2,632",40.41,31.59,72,47.84,948,4611,311,1908,139,1223,4%,0,1,37%,SRBW1 (sediment dam rain gage),KID16,pressure transducer flow
